,Quarter,Tm,Detail,PHI,MIN
0,1.0,Eagles,Tommy McDonald 31 yard pass from Sonny Jurgensen (Bobby Walston kick),7,0
1,2.0,Vikings,Tommy Mason 1 yard rush (Jim Christopherson kick),7,7
2,2.0,Vikings,Fran Tarkenton 10 yard rush (Jim Christopherson kick),7,14
3,2.0,Vikings,Tommy Mason 74 yard pass from Fran Tarkenton (Jim Christopherson kick),7,21
4,3.0,Vikings,Jim Christopherson 42 yard field goal,7,24
5,3.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),14,24
6,4.0,Eagles,Timmy Brown 80 yard pass from Sonny Jurgensen (Bobby Walston kick),21,24
7,4.0,Vikings,Tommy Mason 8 yard pass from Fran Tarkenton (Jim Christopherson kick),21,31
