,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,,Dolphins,Olindo Mare 31 yard field goal,0,3
1,2.0,,Dolphins,Olindo Mare 40 yard field goal,0,6
2,2.0,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),7,6
3,3.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Stanley Pritchett run),7,14
4,3.0,,Bills,Eric Moulds 32 yard pass from Doug Flutie (Steve Christie kick),14,14
5,4.0,,Dolphins,Olindo Mare 23 yard field goal,14,17
6,4.0,,Dolphins,Lamar Thomas 12 yard pass from Dan Marino (Olindo Mare kick),14,24
7,4.0,1:36,Bills,Steve Christie 33 yard field goal,17,24
