,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Johnny Counts 90 yard kickoff return (Don Chandler kick),7,0
1,1.0,Redskins,Bob Khayat 27 yard field goal,7,3
2,2.0,Giants,Del Shofner 20 yard pass from Y.A. Tittle (Don Chandler kick),14,3
3,2.0,Giants,Phil King 7 yard rush (Don Chandler kick),21,3
4,2.0,Giants,Del Shofner 10 yard pass from Y.A. Tittle (Don Chandler kick),28,3
5,2.0,Redskins,Bobby Mitchell 15 yard pass from Norm Snead (Bob Khayat kick),28,10
6,3.0,Giants,Del Shofner 44 yard pass from Y.A. Tittle (Don Chandler kick),35,10
7,4.0,Giants,Alex Webster 6 yard rush (Don Chandler kick),42,10
8,4.0,Redskins,Dick James 18 yard pass from Galen Hall (Bob Khayat kick),42,17
9,4.0,Redskins,Dick James 48 yard pass from Galen Hall (Bob Khayat kick),42,24
