,Quarter,Time,Tm,Detail,HOU,BAL
0,1.0,1:08,Ravens,Joe Flacco 1 yard rush (Billy Cundiff kick),0,7
1,2.0,4:48,Texans,Wade Smith offensive fumble recovery in end zone (Neil Rackers kick),7,7
2,2.0,1:50,Ravens,Billy Cundiff 43 yard field goal,7,10
3,3.0,11:46,Ravens,Billy Cundiff 48 yard field goal,7,13
4,3.0,8:36,Texans,Jacoby Jones 32 yard pass from Matt Schaub (Neil Rackers kick),14,13
5,3.0,3:30,Ravens,Billy Cundiff 25 yard field goal,14,16
6,4.0,14:44,Ravens,Billy Cundiff 33 yard field goal,14,19
7,4.0,4:01,Ravens,Ricky Williams 4 yard rush (Billy Cundiff kick),14,26
8,4.0,1:55,Ravens,Billy Cundiff 40 yard field goal,14,29
