,Quarter,Tm,Detail,NYJ,ATL
0,1.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),7,0
1,4.0,Falcons,Lynn Cain 1 yard rush (Tim Mazzetti kick),7,7
2,4.0,Jets,Kevin Long 1 yard rush (Pat Leahy kick),14,7
