,Quarter,Time,Tm,Detail,CIN,OAK
0,1.0,3:09,Bengals,Joe Mixon 3 yard rush (Randy Bullock kick),7,0
1,2.0,6:55,Raiders,Foster Moreau 2 yard pass from Derek Carr (Daniel Carlson kick),7,7
2,2.0,1:44,Raiders,Derek Carr 3 yard rush (Daniel Carlson kick),7,14
3,3.0,7:28,Bengals,Randy Bullock 40 yard field goal,10,14
4,4.0,9:15,Raiders,Daniel Carlson 20 yard field goal,10,17
