,Quarter,Time,Tm,Detail,MIN,GNB
0,2.0,8:16,Vikings,Gary Anderson 44 yard field goal,3,0
1,2.0,3:18,Packers,Donald Driver 31 yard rush (Ryan Longwell kick),3,7
2,3.0,5:07,Vikings,Gary Anderson 42 yard field goal,6,7
3,4.0,11:57,Packers,Ryan Longwell 24 yard field goal,6,10
4,4.0,10:03,Vikings,Byron Chamberlain 47 yard pass from Spergon Wynn (Gary Anderson kick),13,10
5,4.0,6:28,Packers,Ahman Green 4 yard rush (Ryan Longwell kick),13,17
6,4.0,5:25,Packers,Mike McKenzie 38 yard interception return (Ryan Longwell kick),13,24
