,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Robert Burns 11 yard pass from Joe Namath (Pat Leahy kick),7,0
1,2.0,Patriots,John Smith 32 yard field goal,7,3
2,2.0,Jets,Emerson Boozer 4 yard rush (Pat Leahy kick),14,3
3,3.0,Patriots,Mack Herron 5 yard rush (John Smith kick),14,10
4,3.0,Patriots,John Smith 44 yard field goal,14,13
5,3.0,Jets,David Knight 34 yard pass from Joe Namath (Pat Leahy kick),21,13
6,4.0,Patriots,John Smith 35 yard field goal,21,16
