,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Tony Franklin 36 yard field goal,0,3
1,1.0,Eagles,Tony Franklin 34 yard field goal,0,6
2,2.0,Eagles,Charlie Smith 30 yard pass from Ron Jaworski (Tony Franklin kick),0,13
3,3.0,Falcons,Mick Luckhurst 35 yard field goal,3,13
4,3.0,Falcons,Kenny Johnson 20 yard special teams fumble return (Mick Luckhurst kick),10,13
5,4.0,Eagles,Tony Franklin 43 yard field goal,10,16
6,4.0,Falcons,Mick Luckhurst 43 yard field goal,13,16
