,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Ray Wersching 19 yard field goal,3,0
1,2.0,Falcons,Steve Bartkowski 1 yard rush (Tim Mazzetti kick),3,7
2,3.0,Falcons,Wallace Francis 37 yard pass from Steve Bartkowski (Tim Mazzetti kick),3,14
3,4.0,Falcons,Bubba Bean 1 yard rush (Tim Mazzetti kick),3,21
4,4.0,49ers,Paul Hofer 3 yard rush (Ray Wersching kick),10,21
