,Quarter,Tm,Detail,PHI,CLE
0,1,Eagles,Clarence Peaks 22 yard rush (Bobby Walston kick),7,0
1,2,Browns,Charlie Scales 5 yard rush (Lou Groza kick),7,7
2,3,Eagles,Timmy Brown 5 yard pass from Sonny Jurgensen (Bobby Walston kick),14,7
3,4,Browns,Frank Ryan 9 yard rush (Lou Groza kick),14,14
