,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Bobby Thomason 1 yard rush (Bobby Walston kick),7,0
1,1.0,Browns,Pete Brewster 3 yard pass from Tommy O'Connell (Lou Groza kick),7,7
2,2.0,Browns,Ray Renfro 46 yard pass from Tommy O'Connell (Lou Groza kick),7,14
3,3.0,Eagles,Ken Keller 20 yard rush (Bobby Walston kick),14,14
4,4.0,Browns,Lou Groza 37 yard field goal,14,17
