,Quarter,Time,Tm,Detail,WAS,TAM
0,1.0,10:00,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),0,7
1,1.0,6:27,Buccaneers,Matt Bryant 35 yard field goal,0,10
2,2.0,12:28,Buccaneers,Matt Bryant 27 yard field goal,0,13
3,2.0,10:13,Buccaneers,Matt Bryant 48 yard field goal,0,16
4,2.0,6:11,Redskins,Shaun Suisham 43 yard field goal,3,16
5,2.0,0:00,Buccaneers,Matt Bryant 39 yard field goal,3,19
6,3.0,10:38,Redskins,Chris Cooley 39 yard pass from Jason Campbell (Shaun Suisham kick),10,19
7,4.0,11:19,Redskins,Shaun Suisham 38 yard field goal,13,19
