,Quarter,Tm,Detail,ATL,SFO
0,2.0,Falcons,Mick Luckhurst 22 yard field goal,3,0
1,2.0,49ers,Dwight Clark 7 yard pass from Joe Montana (Ray Wersching kick),3,7
2,2.0,Falcons,Steve Bartkowski 1 yard rush (Mick Luckhurst kick),10,7
3,4.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),17,7
