,Quarter,Tm,Detail,SFO,ATL
0,1.0,Falcons,Haskel Stanback 5 yard rush (Nick Mike-Mayer kick),0,7
1,2.0,49ers,Steve Mike-Mayer 27 yard field goal,3,7
2,3.0,49ers,Gene Washington 40 yard pass from Jim Plunkett (Steve Mike-Mayer kick),10,7
3,4.0,Falcons,Alfred Jenkins 34 yard pass from Scott Hunter (Nick Mike-Mayer kick),10,14
4,4.0,Falcons,Alfred Jenkins 21 yard pass from Scott Hunter (Nick Mike-Mayer kick),10,21
5,4.0,49ers,Gene Washington 10 yard pass from Jim Plunkett,16,21
