,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Charlie Baumann 19 yard field goal,3,0
1,1.0,Patriots,Irving Fryar 54 yard pass from Tom Hodson (Charlie Baumann kick),10,0
2,2.0,Dolphins,Mark Clayton 44 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,2.0,Dolphins,Pete Stoyanovich 34 yard field goal,10,10
4,2.0,Dolphins,Keith Jackson 6 yard pass from Dan Marino (Pete Stoyanovich kick),10,17
5,3.0,Dolphins,Mark Duper 43 yard pass from Dan Marino (Pete Stoyanovich kick),10,24
6,3.0,Dolphins,Keith Jackson 11 yard pass from Dan Marino (Pete Stoyanovich kick),10,31
7,3.0,Dolphins,Mark Higgs 3 yard rush (Pete Stoyanovich kick),10,38
8,4.0,Patriots,Michael Timpson 14 yard pass from Tom Hodson (Charlie Baumann kick),17,38
