,Quarter,Tm,Detail,MIA,BUF
0,2.0,Bills,Jamie Mueller 5 yard rush (Scott Norwood kick),0,7
1,2.0,Bills,Butch Rolle 3 yard pass from Jim Kelly (Scott Norwood kick),0,14
2,2.0,Bills,Chris Burkett 22 yard pass from Jim Kelly (Scott Norwood kick),0,21
3,3.0,Bills,Scott Norwood 39 yard field goal,0,24
4,4.0,Bills,Scott Norwood 28 yard field goal,0,27
