,Quarter,Time,Tm,Detail,DEN,CIN
0,2.0,1:56,Broncos,Phillip Lindsay 6 yard rush (Brandon McManus kick),7,0
1,2.0,0:12,Bengals,Randy Bullock 35 yard field goal,7,3
2,3.0,11:27,Broncos,Courtland Sutton 30 yard pass from Case Keenum (Brandon McManus kick),14,3
3,3.0,7:35,Broncos,Phillip Lindsay 65 yard rush (Brandon McManus kick),21,3
4,3.0,2:45,Bengals,Cody Core 30 yard pass from Jeff Driskel (Randy Bullock kick),21,10
5,4.0,0:23,Broncos,Brandon McManus 29 yard field goal,24,10
