,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Joe Perry 3 yard rush (Gordie Soltau kick),0,7
1,2.0,49ers,Hugh McElhenny 1 yard rush (Gordie Soltau kick),0,14
2,2.0,Packers,Billy Howton 9 yard pass from Tobin Rote (Bill Reichardt kick),7,14
3,3.0,49ers,Joe Arenas 6 yard pass from Frankie Albert (Gordie Soltau kick),7,21
4,3.0,Packers,Billy Howton 90 yard pass from Babe Parilli (Bill Reichardt kick),14,21
5,4.0,49ers,Gordie Soltau 20 yard field goal,14,24
