,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Mike Clark 12 yard field goal,0,3
1,1.0,Cowboys,Pettis Norman 26 yard pass from Craig Morton (Mike Clark kick),0,10
2,2.0,Redskins,Curt Knight 34 yard field goal,3,10
3,2.0,Cowboys,Mike Clark 24 yard field goal,3,13
4,4.0,Redskins,Chris Hanburger 19 yard defensive fumble return (Curt Knight kick),10,13
5,4.0,Cowboys,Calvin Hill 6 yard rush (Mike Clark kick),10,20
