,Quarter,Tm,Detail,KAN,CRD
0,2.0,Cardinals,Hal Erickson unknown yard pass from Red Dunn (Red Dunn kick),0,7
1,2.0,Cowboys,Charley Hill unknown yard pass from Phil White (Charley Hill kick),7,7
2,2.0,Cardinals,Hal Erickson unknown yard pass from Red Dunn,7,13
3,3.0,Cardinals,Paddy Driscoll 80 yard rush (Red Dunn kick),7,20
