,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Joe Danelo 27 yard field goal,0,3
1,2.0,Eagles,Perry Harrington 1 yard rush (Tony Franklin kick),7,3
2,2.0,Eagles,Tony Franklin 47 yard field goal,10,3
3,3.0,Eagles,Rodney Parker 55 yard pass from Ron Jaworski (Tony Franklin kick),17,3
4,4.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),24,3
5,4.0,Giants,Leon Perry 19 yard pass from Phil Simms (Joe Danelo kick),24,10
