,Quarter,Tm,Detail,NOR,CIN
0,1.0,Bengals,Eddie Brown 10 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Saints,Morten Andersen 21 yard field goal,3,7
2,1.0,Bengals,Stanford Jennings 1 yard pass from Boomer Esiason (Jim Breech kick),3,14
3,2.0,Bengals,Jim Breech 43 yard field goal,3,17
4,2.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),3,24
5,2.0,Saints,Dalton Hilliard 2 yard rush (Morten Andersen kick),10,24
6,3.0,Saints,Mike Jones 29 yard pass from Dave Wilson (Morten Andersen kick),17,24
7,3.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),24,24
8,4.0,Saints,Morten Andersen 30 yard field goal,27,24
9,4.0,Saints,Buford Jordan 1 yard rush (Morten Andersen kick),34,24
10,4.0,Saints,Buford Jordan 8 yard rush (Morten Andersen kick),41,24
