,Quarter,Time,Tm,Detail,MIA,STL
0,1.0,,Rams,Dean Biasucci 42 yard field goal,0,3
1,1.0,,Dolphins,Pete Stoyanovich 33 yard field goal,3,3
2,1.0,,Dolphins,Bernie Parmalee 3 yard rush (Pete Stoyanovich kick),10,3
3,2.0,,Rams,Dean Biasucci 27 yard field goal,10,6
4,2.0,,Dolphins,Irving Fryar 6 yard pass from Dan Marino (Pete Stoyanovich kick),17,6
5,2.0,,Dolphins,O.J. McDuffie 7 yard pass from Dan Marino (Pete Stoyanovich kick),24,6
6,2.0,,Rams,Todd Kinchen 7 yard pass from Mark Rypien (pass failed),24,12
7,2.0,,Dolphins,Pete Stoyanovich 48 yard field goal,27,12
8,3.0,,Rams,Isaac Bruce 5 yard pass from Mark Rypien (Dean Biasucci kick),27,19
9,4.0,,Rams,Dean Biasucci 38 yard field goal,27,22
10,4.0,,Dolphins,Bernie Parmalee 7 yard rush (Pete Stoyanovich kick),34,22
11,4.0,,Dolphins,Pat Johnson 37 yard defensive fumble return (Pete Stoyanovich kick),41,22
