,Quarter,Time,Tm,Detail,DET,IND
0,1.0,2:36,Colts,Marcus Pollard 31 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,6:26,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2,2.0,2:55,Colts,"Safety,",0,16
3,2.0,0:42,Colts,Ken Dilger 12 yard pass from Peyton Manning (Mike Vanderjagt kick),0,23
4,3.0,9:05,Lions,Mario Bates 9 yard rush (James Stewart run),8,23
5,3.0,2:06,Lions,Jason Hanson 21 yard field goal,11,23
6,4.0,2:32,Lions,Herman Moore 5 yard pass from Charlie Batch (Jason Hanson kick),18,23
7,4.0,1:42,Colts,Edgerrin James 24 yard rush (Mike Vanderjagt kick),18,30
