,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Sam Baker 30 yard field goal,0,3
1,1.0,Bears,Cecil Turner 11 yard pass from Virgil Carter (Mac Percival kick),7,3
2,2.0,Eagles,Sam Baker 27 yard field goal,7,6
3,2.0,Eagles,Mike Ditka 2 yard pass from Norm Snead (Sam Baker kick),7,13
4,2.0,Bears,Mac Percival 39 yard field goal,10,13
5,2.0,Bears,Mac Percival 31 yard field goal,13,13
6,3.0,Bears,Mac Percival 28 yard field goal,16,13
7,3.0,Eagles,Sam Baker 44 yard field goal,16,16
8,4.0,Bears,Mac Percival 15 yard field goal,19,16
9,4.0,Bears,Rosey Taylor 96 yard interception return (Mac Percival kick),26,16
10,4.0,Bears,Mac Percival 14 yard field goal,29,16
