,Quarter,Tm,Detail,PIT,HOU
0,1,Steelers,Gary Anderson 32 yard field goal,3,0
1,1,Oilers,Joe Cooper 19 yard field goal,3,3
2,2,Oilers,Joe Cooper 38 yard field goal,3,6
3,2,Oilers,Chris Dressel 5 yard pass from Warren Moon (Joe Cooper kick),3,13
4,3,Steelers,Weegie Thompson 5 yard pass from Mark Malone (Gary Anderson kick),10,13
5,3,Steelers,Gary Anderson 24 yard field goal,13,13
6,4,Oilers,Stan Edwards 5 yard rush (Joe Cooper kick),13,20
7,4,Steelers,Louis Lipps 7 yard pass from Mark Malone (Gary Anderson kick),20,20
8,OT,Oilers,Joe Cooper 30 yard field goal,20,23
