,Quarter,Tm,Detail,BUF,OAK
0,1.0,Raiders,Billy Cannon 53 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,1.0,Raiders,Pete Banaszak 10 yard pass from Daryle Lamonica (George Blanda kick),0,14
2,2.0,Raiders,Pete Banaszak 1 yard pass from Daryle Lamonica (George Blanda kick),0,21
3,2.0,Raiders,Warren Wells 13 yard pass from Daryle Lamonica (George Blanda kick),0,28
4,2.0,Raiders,Fred Biletnikoff 16 yard pass from Daryle Lamonica (George Blanda kick),0,35
5,2.0,Raiders,Fred Biletnikoff 23 yard pass from Daryle Lamonica (George Blanda kick),0,42
6,2.0,Bills,Haven Moses 39 yard pass from James Harris (Bruce Alford kick),7,42
7,3.0,Raiders,George Blanda 20 yard field goal,7,45
8,3.0,Raiders,George Blanda 36 yard field goal,7,48
9,4.0,Bills,Bill Enyart 30 yard pass from Jack Kemp (Bruce Alford kick),14,48
10,4.0,Bills,Marlin Briscoe 50 yard pass from Jack Kemp (Bruce Alford kick),21,48
11,4.0,Raiders,"Safety, Kemp tackled in end zone by Dotson",21,50
