,Quarter,Tm,Detail,PIT,CLE
0,1,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),7,0
1,2,Browns,Curtis Dickey 2 yard rush (Matt Bahr kick),7,7
2,2,Browns,Kevin Mack 1 yard rush (Matt Bahr kick),7,14
3,2,Steelers,Walter Abercrombie 38 yard rush (Gary Anderson kick),14,14
4,2,Browns,Ozzie Newsome 20 yard pass from Bernie Kosar (Matt Bahr kick),14,21
5,3,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),21,21
6,3,Browns,Curtis Dickey 4 yard rush (Matt Bahr kick),21,28
7,4,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),28,28
8,4,Browns,Matt Bahr 25 yard field goal,28,31
9,4,Steelers,Gary Anderson 40 yard field goal,31,31
10,OT,Browns,Webster Slaughter 36 yard pass from Bernie Kosar,31,37
