,Quarter,Tm,Detail,BUF,IND
0,1.0,Bills,Kenneth Davis 1 yard rush (Scott Norwood kick),7,0
1,1.0,Bills,James Lofton 11 yard pass from Jim Kelly (Scott Norwood kick),14,0
2,1.0,Bills,Kenneth Davis 14 yard pass from Jim Kelly (Scott Norwood kick),21,0
3,2.0,Bills,Andre Reed 23 yard pass from Jim Kelly (Scott Norwood kick),28,0
4,4.0,Colts,Tim Manoa 1 yard rush (Dean Biasucci kick),28,7
5,4.0,Bills,Pete Metzelaars 4 yard pass from Frank Reich (Scott Norwood kick),35,7
