,Quarter,Tm,Detail,PIT,OAK
0,1.0,Raiders,George Blanda 40 yard field goal,0,3
1,2.0,Steelers,Roy Gerela 23 yard field goal,3,3
2,3.0,Raiders,Cliff Branch 38 yard pass from Ken Stabler (George Blanda kick),3,10
3,4.0,Steelers,Franco Harris 8 yard rush (Roy Gerela kick),10,10
4,4.0,Steelers,Lynn Swann 6 yard pass from Terry Bradshaw (Roy Gerela kick),17,10
5,4.0,Raiders,George Blanda 24 yard field goal,17,13
6,4.0,Steelers,Franco Harris 21 yard rush (Roy Gerela kick),24,13
