,Quarter,Tm,Detail,PIT,GNB
0,1.0,Steelers,Ben McGee 21 yard interception return (Mike Clark kick),7,0
1,2.0,Packers,Don Chandler 25 yard field goal,7,3
2,2.0,Steelers,Earl Gros 22 yard rush (Mike Clark kick),14,3
3,2.0,Packers,Travis Williams 29 yard pass from Don Horn (Don Chandler kick),14,10
4,3.0,Steelers,Mike Clark 27 yard field goal,17,10
5,3.0,Steelers,Chuck Hinton 27 yard defensive fumble return (Mike Clark kick),24,10
6,4.0,Packers,Travis Williams 25 yard rush (Don Chandler kick),24,17
