,Quarter,Tm,Detail,BKN,PIT
0,1.0,Dodgers,Shipwreck Kelly 15 yard rush,6,0
1,2.0,Dodgers,Shipwreck Kelly 70 yard punt return (Herman Hickman kick),13,0
2,3.0,Dodgers,Tom Nash 61 yard pass from Chris Cagle,19,0
3,3.0,Dodgers,Shipwreck Kelly 2 yard rush (Shipwreck Kelly kick),26,0
4,4.0,Dodgers,Dick Fishel 7 yard rush,32,0
