,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,,Broncos,Jason Elam 30 yard field goal,0,3
1,2.0,,Broncos,Jason Elam 32 yard field goal,0,6
2,2.0,,Broncos,Anthony Miller 33 yard pass from John Elway (Ed McCaffrey pass from John Elway),0,14
3,3.0,,Broncos,Jason Elam 33 yard field goal,0,17
4,3.0,,Broncos,Anthony Miller 36 yard pass from John Elway (Jason Elam kick),0,24
5,4.0,,Broncos,Jason Elam 37 yard field goal,0,27
