,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Lem Barney 98 yard kickoff return (Jerry DePoyster kick),7,0
1,1.0,Rams,Willie Ellison 36 yard pass from Roman Gabriel (Bruce Gossett kick),7,7
2,2.0,Rams,Bruce Gossett 37 yard field goal,7,10
