,Quarter,Tm,Detail,COL,CHI
0,1.0,Bears,Joey Sternaman unknown yard rush,0,6
1,1.0,Tigers,Herb Schell unknown yard rush,6,6
2,2.0,Bears,Joey Sternaman unknown yard field goal,6,9
3,4.0,Bears,Joey Sternaman unknown yard field goal,6,12
