,Quarter,Tm,Detail,IND,MIA
0,1.0,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),7,0
1,1.0,Dolphins,Lorenzo Hampton 5 yard rush (Fuad Reveiz kick),7,7
2,2.0,Dolphins,Nat Moore 4 yard pass from Dan Marino,7,13
3,2.0,Dolphins,James Pruitt 71 yard punt return (Fuad Reveiz kick),7,20
4,2.0,Colts,Dean Biasucci 23 yard field goal,10,20
5,3.0,Dolphins,Lorenzo Hampton 21 yard rush (Fuad Reveiz kick),10,27
6,3.0,Dolphins,Fuad Reveiz 27 yard field goal,10,30
