,Quarter,Time,Tm,Detail,HOU,BAL
0,1.0,,Oilers,Eddie George 1 yard rush (Al Del Greco kick),7,0
1,1.0,6:22,Ravens,Michael Jackson 86 yard pass from Vinny Testaverde (Matt Stover kick),7,7
2,1.0,6:22,Oilers,Al Del Greco 37 yard field goal,10,7
3,2.0,6:22,Oilers,Willie Davis 19 yard pass from Steve McNair (Al Del Greco kick),17,7
4,3.0,6:22,Oilers,Steve McNair 24 yard rush (Al Del Greco kick),24,7
5,4.0,6:22,Ravens,Michael Jackson 8 yard pass from Vinny Testaverde (Matt Stover kick),24,14
6,4.0,6:22,Ravens,Michael Jackson 4 yard pass from Vinny Testaverde (Matt Stover kick),24,21
