,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,10:32,Broncos,Joel Dreessen 22 yard pass from Peyton Manning (Matt Prater kick),0,7
1,1.0,6:47,Raiders,Sebastian Janikowski 38 yard field goal,3,7
2,1.0,0:00,Broncos,Matt Prater 21 yard field goal,3,10
3,2.0,0:22,Raiders,Sebastian Janikowski 24 yard field goal,6,10
4,3.0,10:08,Broncos,Eric Decker 17 yard pass from Peyton Manning (Matt Prater kick),6,17
5,3.0,7:30,Broncos,Willis McGahee 2 yard rush (Matt Prater kick),6,24
6,3.0,3:46,Broncos,Lance Ball 14 yard pass from Peyton Manning (Matt Prater kick),6,31
7,4.0,12:56,Broncos,Matt Prater 43 yard field goal,6,34
8,4.0,3:43,Broncos,Matt Prater 53 yard field goal,6,37
