,Quarter,Tm,Detail,MIN,DAL
0,1.0,Vikings,Fred Cox 44 yard field goal,3,0
1,2.0,Vikings,Chuck Foreman 5 yard rush (Fred Cox kick),10,0
2,3.0,Cowboys,Golden Richards 63 yard punt return (Toni Fritsch kick),10,7
3,3.0,Vikings,John Gilliam 54 yard pass from Fran Tarkenton (Fred Cox kick),17,7
4,3.0,Cowboys,Toni Fritsch 17 yard field goal,17,10
5,4.0,Vikings,Bobby Bryant 63 yard interception return (Fred Cox kick),24,10
6,4.0,Vikings,Fred Cox 34 yard field goal,27,10
