,Quarter,Tm,Detail,DAY,POT
0,2.0,Maroons,Barney Wentz unknown yard rush (Jim Welsh kick),0,7
1,2.0,Maroons,Jim Welsh unknown yard field goal,0,10
2,3.0,Maroons,Barney Wentz unknown yard rush (Jim Welsh kick),0,17
3,4.0,Maroons,Bob Millman unknown yard pass from Jack Ernst (Jim Welsh kick),0,24
4,4.0,Triangles,Gene Mayl unknown yard pass from Lou Mahrt,6,24
