,Quarter,Tm,Detail,DET,DAL
0,1.0,Cowboys,Billy Parks 38 yard pass from Craig Morton (Toni Fritsch kick),0,7
1,1.0,Cowboys,Calvin Hill 33 yard pass from Craig Morton (Toni Fritsch kick),0,14
2,2.0,Lions,Greg Landry 2 yard rush (Errol Mann kick),7,14
3,2.0,Cowboys,Mike Montgomery 1 yard rush (Toni Fritsch kick),7,21
4,2.0,Lions,Altie Taylor 40 yard pass from Greg Landry (Errol Mann kick),14,21
5,3.0,Lions,Errol Mann 17 yard field goal,17,21
6,4.0,Cowboys,Mike Montgomery 15 yard pass from Craig Morton (Toni Fritsch kick),17,28
7,4.0,Lions,Larry Walton 21 yard pass from Greg Landry (Errol Mann kick),24,28
