,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Bob Long 23 yard pass from Bart Starr (Don Chandler kick),0,7
1,2.0,49ers,Monty Stickles 1 yard pass from John Brodie (Tommy Davis kick),7,7
2,2.0,Packers,Don Chandler 18 yard field goal,7,10
3,2.0,Packers,Don Chandler 24 yard field goal,7,13
4,3.0,Packers,Marv Fleming 9 yard pass from Bart Starr (Don Chandler kick),7,20
5,3.0,49ers,Tommy Davis 39 yard field goal,10,20
6,4.0,Packers,Paul Hornung 2 yard rush (Don Chandler kick),10,27
