,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,14:44,Falcons,Darrick Vaughn 96 yard kickoff return (Morten Andersen kick),7,0
1,1.0,14:24,Rams,Tony Horne 103 yard kickoff return (Jeff Wilkins kick),7,7
2,1.0,10:14,Falcons,Terance Mathis 16 yard pass from Chris Chandler (Morten Andersen kick),14,7
3,2.0,14:55,Rams,Tony Horne 3 yard pass from Kurt Warner (London Fletcher pass from Keith Lyle),14,15
4,2.0,3:16,Rams,Justin Watson 2 yard rush (pass failed),14,21
5,2.0,1:56,Falcons,Jamal Anderson 4 yard rush (Morten Andersen kick),21,21
6,2.0,0:03,Rams,Az-Zahir Hakim 30 yard pass from Kurt Warner (Marshall Faulk run),21,29
7,3.0,6:57,Rams,Robert Holcombe 12 yard pass from Kurt Warner (Marshall Faulk run),21,37
8,4.0,4:27,Falcons,Tim Dwight 16 yard pass from Chris Chandler (Jamal Anderson run),29,37
9,4.0,1:09,Rams,Marshall Faulk 3 yard rush (Roland Williams pass from Kurt Warner),29,45
