,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Carl Hilton 8 yard pass from Wade Wilson (Chuck Nelson kick),7,0
1,2.0,Vikings,Anthony Carter 46 yard pass from Wade Wilson (Chuck Nelson kick),14,0
2,3.0,Rams,Buford McGee 2 yard rush (Mike Lansford kick),14,7
3,4.0,Rams,Johnnie Johnson 20 yard blocked punt return,14,13
4,4.0,Rams,Mike Lansford 27 yard field goal,14,16
5,4.0,Vikings,Hassan Jones 41 yard pass from Wade Wilson (Chuck Nelson kick),21,16
