,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),0,7
1,2.0,Oilers,Rob Carpenter 3 yard rush (Toni Fritsch kick),0,14
2,2.0,Bengals,Pete Johnson 35 yard rush (Chris Bahr kick),7,14
3,2.0,Oilers,Mike Barber 17 yard pass from Dan Pastorini (Toni Fritsch kick),7,21
4,2.0,Oilers,Earl Campbell 13 yard rush (Toni Fritsch kick),7,28
5,2.0,Oilers,Tim Wilson 1 yard rush (Toni Fritsch kick),7,35
6,3.0,Bengals,Don Bass 12 yard pass from Jack Thompson (Chris Bahr kick),14,35
7,4.0,Bengals,Jack Thompson 13 yard rush (Chris Bahr kick),21,35
8,4.0,Oilers,Rob Carpenter 7 yard pass from Gifford Nielsen (Toni Fritsch kick),21,42
