,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Roger Ruzek 34 yard field goal,3,0
1,2.0,Packers,Sterling Sharpe 5 yard pass from Brett Favre (Chris Jacke kick),3,7
2,2.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),3,14
3,3.0,Eagles,Heath Sherman 17 yard rush (Roger Ruzek kick),10,14
4,4.0,Packers,Darrell Thompson 3 yard pass from Brett Favre (Chris Jacke kick),10,21
5,4.0,Eagles,Heath Sherman 75 yard pass from Randall Cunningham (Roger Ruzek kick),17,21
6,4.0,Eagles,Herschel Walker 2 yard rush (Roger Ruzek kick),24,21
7,4.0,Packers,Chris Jacke 31 yard field goal,24,24
8,4.0,Packers,Chris Jacke 41 yard field goal,24,27
