,Quarter,Time,Tm,Detail,IND,DET
0,1.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),0,7
1,1.0,,Lions,"Safety, Scroggins sacked Justin in end zone",0,9
2,1.0,,Colts,Marvin Harrison 20 yard pass from Paul Justin (Cary Blanchard kick),7,9
3,2.0,2:25,Lions,Jason Hanson 38 yard field goal,7,12
4,2.0,2:25,Colts,Cary Blanchard 35 yard field goal,10,12
5,2.0,2:25,Lions,Jason Hanson 52 yard field goal,10,15
6,2.0,2:25,Lions,Jason Hanson 55 yard field goal,10,18
7,3.0,2:25,Lions,Barry Sanders 80 yard rush (Jason Hanson kick),10,25
8,4.0,2:25,Lions,Barry Sanders 4 yard rush (Jason Hanson kick),10,32
