,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Lou Groza 14 yard field goal,0,3
1,2.0,Giants,Frank Gifford 6 yard pass from Charlie Conerly (Ben Agajanian kick),7,3
2,2.0,Giants,Kyle Rote 71 yard pass from Frank Gifford (Ben Agajanian kick),14,3
3,3.0,Browns,Ray Renfro 30 yard pass from George Ratterman (Lou Groza kick),14,10
4,4.0,Browns,Pete Brewster 14 yard pass from George Ratterman (Lou Groza kick),14,17
5,4.0,Browns,George Ratterman 4 yard rush (Lou Groza kick),14,24
