,Quarter,Tm,Detail,CLE,SDG
0,1,Chargers,John Carney 27 yard field goal,0,3
1,2,Browns,Matt Stover 30 yard field goal,3,3
2,3,Chargers,Ronnie Harmon 11 yard rush (John Carney kick),3,10
3,3,Chargers,Marion Butts 2 yard rush (John Carney kick),3,17
4,3,Browns,Leroy Hoard 6 yard pass from Bernie Kosar (Matt Stover kick),10,17
5,4,Browns,Joe Morris 1 yard rush (Matt Stover kick),17,17
6,4,Chargers,Steve Hendrickson 2 yard pass from John Friesz (John Carney kick),17,24
7,4,Browns,Leroy Hoard 15 yard pass from Bernie Kosar (Matt Stover kick),24,24
8,OT,Browns,David Brandon 30 yard interception return,30,24
