,Quarter,Tm,Detail,CAN,AKR
0,2.0,Bulldogs,Ed Shaw 20 yard field goal,3,0
1,2.0,Bulldogs,Norb Sacksteder 38 yard rush,9,0
2,3.0,Bulldogs,Bird Carroll 19 yard pass from Norb Sacksteder,15,0
3,4.0,Bulldogs,Harry Robb 1 yard rush (Ed Shaw kick),22,0
