,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,10:25,Vikings,Kyle Rudolph 5 yard pass from Teddy Bridgewater (Blair Walsh kick),0,7
1,2.0,14:26,Vikings,Teddy Bridgewater 1 yard rush (Blair Walsh kick),0,14
2,2.0,7:12,Lions,Matt Prater 26 yard field goal,3,14
3,2.0,2:32,Vikings,Blair Walsh 28 yard field goal,3,17
4,2.0,0:34,Lions,Calvin Johnson 11 yard pass from Matthew Stafford (Matt Prater kick),10,17
5,3.0,8:54,Vikings,Zach Line 1 yard rush (Blair Walsh kick failed),10,23
6,4.0,6:20,Vikings,Blair Walsh 23 yard field goal,10,26
7,4.0,1:48,Lions,Eric Ebron 12 yard pass from Matthew Stafford (run failed),16,26
