,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,,Bears,Chris Gedney 10 yard pass from Erik Kramer (Kevin Butler kick),0,7
1,2.0,,Buccaneers,Michael Husted 31 yard field goal,3,7
2,2.0,,Bears,Lewis Tillman 1 yard rush (Kevin Butler kick),3,14
3,3.0,,Buccaneers,Michael Husted 49 yard field goal,6,14
4,3.0,,Buccaneers,Michael Husted 30 yard field goal,9,14
5,4.0,,Bears,Chris Gedney 37 yard pass from Erik Kramer (Kevin Butler kick),9,21
