,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,9:50,Titans,Rob Bironas 47 yard field goal,0,3
1,2.0,10:16,Jaguars,Greg Jones 1 yard pass from David Garrard (Josh Scobee kick),7,3
2,2.0,3:09,Titans,Chris Johnson 7 yard pass from Vince Young (Rob Bironas kick),7,10
3,4.0,3:47,Titans,LenDale White 1 yard rush (Rob Bironas kick),7,17
4,4.0,2:12,Jaguars,Josh Scobee 27 yard field goal,10,17
