,Quarter,Tm,Detail,MIN,NOR
0,1.0,Vikings,Benny Ricardo 31 yard field goal,3,0
1,1.0,Saints,Wayne Wilson 2 yard rush (Morten Andersen kick),3,7
2,2.0,Vikings,Tony Galbreath 5 yard pass from Steve Dils (Benny Ricardo kick),10,7
3,2.0,Saints,Morten Andersen 25 yard field goal,10,10
4,3.0,Vikings,Benny Ricardo 27 yard field goal,13,10
5,4.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),13,17
6,4.0,Vikings,Benny Ricardo 32 yard field goal,16,17
