,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,,Lions,Jason Hanson 27 yard field goal,0,3
1,2.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),0,10
2,2.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),0,17
3,2.0,,Vikings,Robert Smith 27 yard rush (Eddie Murray kick),7,17
4,2.0,,Lions,Johnnie Morton 14 yard pass from Scott Mitchell (Jason Hanson kick),7,24
5,3.0,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),7,31
6,3.0,,Lions,Herman Moore 10 yard pass from Scott Mitchell (Jason Hanson kick),7,38
7,4.0,,Vikings,Leroy Hoard 3 yard rush (Cris Carter pass from Brad Johnson ),15,38
