,Quarter,Time,Tm,Detail,STL,NWE
0,1.0,3:10,Rams,Jeff Wilkins 50 yard field goal,3,0
1,2.0,8:49,Patriots,Ty Law 47 yard interception return (Adam Vinatieri kick),3,7
2,2.0,0:31,Patriots,David Patten 8 yard pass from Tom Brady (Adam Vinatieri kick),3,14
3,3.0,1:18,Patriots,Adam Vinatieri 37 yard field goal,3,17
4,4.0,9:31,Rams,Kurt Warner 2 yard rush (Jeff Wilkins kick),10,17
5,4.0,1:30,Rams,Ricky Proehl 26 yard pass from Kurt Warner (Jeff Wilkins kick),17,17
6,4.0,0:00,Patriots,Adam Vinatieri 48 yard field goal,17,20
