,Quarter,Time,Tm,Detail,CIN,STL
0,1.0,8:59,Bengals,Mike Nugent 21 yard field goal,3,0
1,2.0,4:18,Rams,Josh Brown 26 yard field goal,3,3
2,2.0,0:26,Rams,Josh Brown 43 yard field goal,3,6
3,3.0,10:22,Bengals,Mike Nugent 41 yard field goal,6,6
4,3.0,0:12,Bengals,Bernard Scott 1 yard rush (Mike Nugent kick),13,6
5,4.0,9:14,Bengals,Cedric Benson 4 yard rush (Mike Nugent kick),20,6
6,4.0,1:08,Rams,Danario Alexander 25 yard pass from Kellen Clemens (Josh Brown kick),20,13
