,Quarter,Tm,Detail,NYG,TAM
0,2.0,Buccaneers,Larry Mucker 10 yard pass from Doug Williams (Neil O'Donoghue kick),0,7
1,2.0,Buccaneers,Dave Lewis 39 yard defensive fumble return (Neil O'Donoghue kick),0,14
2,3.0,Giants,Joe Danelo 21 yard field goal,3,14
3,3.0,Buccaneers,Larry Mucker 42 yard pass from Doug Williams (Neil O'Donoghue kick),3,21
4,3.0,Buccaneers,Neil O'Donoghue 40 yard field goal,3,24
5,4.0,Buccaneers,Johnny Davis 4 yard rush (Neil O'Donoghue kick),3,31
