,Quarter,Tm,Detail,KAN,MIA
0,1.0,Chiefs,Nick Lowery 27 yard field goal,3,0
1,2.0,Dolphins,Pete Stoyanovich 58 yard field goal,3,3
2,2.0,Chiefs,Stephone Paige 26 yard pass from Steve DeBerg (Nick Lowery kick),10,3
3,3.0,Chiefs,Nick Lowery 25 yard field goal,13,3
4,3.0,Chiefs,Nick Lowery 38 yard field goal,16,3
5,4.0,Dolphins,Tony Paige 1 yard pass from Dan Marino (Pete Stoyanovich kick),16,10
6,4.0,Dolphins,Mark Clayton 12 yard pass from Dan Marino (Pete Stoyanovich kick),16,17
