,Quarter,Tm,Detail,CHI,BAL
0,1.0,Colts,Alan Ameche 79 yard rush (Bert Rechichar kick),0,7
1,1.0,Colts,Bert Rechichar 23 yard field goal,0,10
2,2.0,Colts,Lloyd Colteryahn 11 yard pass from George Shaw (Bert Rechichar kick),0,17
3,2.0,Bears,Harlon Hill 10 yard pass from George Blanda (George Blanda kick),7,17
4,2.0,Colts,Bert Rechichar 43 yard field goal,7,20
5,3.0,Bears,Bobby Watkins 3 yard rush (George Blanda kick),14,20
6,3.0,Colts,Bert Rechichar 10 yard field goal,14,23
7,4.0,Bears,George Blanda 49 yard field goal,17,23
