,Quarter,Tm,Detail,PHI,CHI
0,1.0,Eagles,Dick Bielski 16 yard field goal,3,0
1,1.0,Bears,Bobby Watkins 2 yard rush (George Blanda kick),3,7
2,2.0,Bears,Rick Casares 5 yard pass from George Blanda (George Blanda kick),3,14
3,4.0,Eagles,Toy Ledbetter 37 yard pass from Adrian Burk (Dick Bielski kick),10,14
4,4.0,Bears,George Blanda 24 yard field goal,10,17
