,Quarter,Time,Tm,Detail,OAK,CHI
0,1.0,10:57,Bears,Eddie Royal 7 yard pass from Jay Cutler (Robbie Gould kick failed),0,6
1,2.0,11:10,Raiders,Amari Cooper 26 yard pass from Derek Carr (Sebastian Janikowski kick),7,6
2,2.0,7:12,Raiders,Roy Helu 4 yard pass from Derek Carr (Sebastian Janikowski kick),14,6
3,2.0,3:30,Bears,Martellus Bennett 5 yard pass from Jay Cutler (Robbie Gould kick),14,13
4,2.0,1:26,Bears,Robbie Gould 19 yard field goal,14,16
5,3.0,10:53,Raiders,Sebastian Janikowski 29 yard field goal,17,16
6,4.0,13:01,Bears,Robbie Gould 54 yard field goal,17,19
7,4.0,2:05,Raiders,Sebastian Janikowski 41 yard field goal,20,19
8,4.0,0:02,Bears,Robbie Gould 49 yard field goal,20,22
