,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Rich Karlis 27 yard field goal,3,0
1,2.0,Chargers,Kellen Winslow 3 yard pass from Dan Fouts (Rolf Benirschke kick),3,7
2,2.0,Chargers,Rolf Benirschke 41 yard field goal,3,10
3,2.0,Chargers,Kellen Winslow 28 yard pass from Dan Fouts (Rolf Benirschke kick),3,17
4,2.0,Broncos,Rick Upchurch 15 yard pass from Steve DeBerg (Rich Karlis kick),10,17
5,3.0,Broncos,Steve DeBerg 6 yard rush (Rich Karlis kick),17,17
6,3.0,Chargers,Rolf Benirschke 18 yard field goal,17,20
7,4.0,Broncos,Rich Karlis 38 yard field goal,20,20
8,4.0,Chargers,Kellen Winslow 2 yard pass from Dan Fouts (Rolf Benirschke kick),20,27
9,4.0,Chargers,Rolf Benirschke 42 yard field goal,20,30
